Manager,Nationality,Club,Appointed,Time as manager,Salary
Pep Guardiola,Spain,Manchester City,1-Jul-16,"8 years, 130 days",20 million
Thomas Frank,Denmark,Brentford,16-Oct-18,"6 years, 23 days",4.5 million
Mikel Arteta,Spain,Arsenal,20-Dec-19,"4 years, 324 days",15 million
Marco Silva,Portugal,Fulham,1-Jul-21,"3 years, 130 days",4 million
Eddie Howe,England,Newcastle United,8-Nov-21,"3 years, 0 days",4 million
Kieran McKenna,Northern Ireland,Ipswich Town,16-Dec-21,"2 years, 328 days",3 million
Unai Emery,Spain,Aston Villa,1-Nov-22,"2 years, 7 days",8 million 
Sean Dyche,England,Everton,30-Jan-23,"1 year, 283 days",5 million
Ange Postecoglou,Australia,Tottenham Hotspur,6-Jun-23,"1 year, 155 days",5 million
Andoni Iraola,Spain,Bournemouth,19-Jun-23,"1 year, 142 days",1 million
Russell Martin,Scotland,Southampton,21-Jun-23,"1 year, 140 days",2 million
Gary O'Neil,England,Wolverhampton Wanderers,9-Aug-23,"1 year, 91 days",1.5 million
Nuno Espirito Santo,Portugal,Nottingham Forest,20-Dec-23,324 days,2 million
Oliver Glasner,Austria,Crystal Palace,19-Feb-24,263 days,4.5 million
Arne Slot,Netherlands,Liverpool,1-Jun-24,160 days,6.2 million
Enzo Maresca,Italy,Chelsea,3-Jun-24,158 days,4.2 million
Fabian Hurzeler,Germany,Brighton & Hove Albion,15-Jun-24,146 days,2 million
Steve Cooper,Wales,Leicester City,20-Jun-24,141 days,3 million
Julen Lopetegui,Spain,West Ham United,1-Jul-24,130 days,3.4 million
Erik ten Hag,Netherlands,Manchester United,1-Jul-22,"2 years,120 days",10 million
